                              domain                               |            status             | count  
-------------------------------------------------------------------+-------------------------------+--------
 202.148.31.178                                                    |                               |    298
 academic.oup.com                                                  |                               |   1624
 academic.oup.com                                                  | no-pdf-link                   |    673
 academic.oup.com                                                  | bad-redirect                  |    444
 academic.oup.com                                                  | link-loop                     |    358
 aip.scitation.org                                                 |                               |    257
 apps.crossref.org                                                 |                               |   1414
 apps.crossref.org                                                 | no-pdf-link                   |   1410
 article.sciencepublishinggroup.com                                |                               |    404
 article.sciencepublishinggroup.com                                | success                       |    404
 arxiv.org                                                         |                               |  24340
 arxiv.org                                                         | success                       |  22381
 arxiv.org                                                         | terminal-bad-status           |   1260
 arxiv.org                                                         | no-pdf-link                   |    412
 arxiv.org                                                         | no-capture                    |    262
 ashpublications.org                                               |                               |   2049
 ashpublications.org                                               | no-pdf-link                   |   2024
 asmedigitalcollection.asme.org                                    |                               |   1245
 asmedigitalcollection.asme.org                                    | bad-redirect                  |    707
 assets.researchsquare.com                                         |                               |   1549
 assets.researchsquare.com                                         | success                       |   1546
 bioone.org                                                        |                               |    201
 biorxiv.org                                                       | redirect-loop                 |    702
 biorxiv.org                                                       |                               |    702
 blogs.ethz.ch                                                     |                               |    687
 blogs.ethz.ch                                                     | no-pdf-link                   |    686
 books.openedition.org                                             |                               |    446
 books.openedition.org                                             | redirect-loop                 |    382
 brill.com                                                         |                               |   2203
 brill.com                                                         | link-loop                     |   1779
 brill.com                                                         | success                       |    359
 catalog.paradisec.org.au                                          |                               |    770
 catalog.paradisec.org.au                                          | redirect-loop                 |    756
 cdr.lib.unc.edu                                                   |                               |   9432
 cdr.lib.unc.edu                                                   | redirect-loop                 |   5720
 cdr.lib.unc.edu                                                   | spn2-wayback-error            |   3187
 cdr.lib.unc.edu                                                   | spn2-cdx-lookup-failure       |    201
 classiques-garnier.com                                            |                               |    246
 classiques-garnier.com                                            | success                       |    243
 content.iospress.com                                              |                               |    242
 content.taylorfrancis.com                                         |                               |    309
 content.taylorfrancis.com                                         | terminal-bad-status           |    309
 curve.carleton.ca                                                 | success                       |    201
 curve.carleton.ca                                                 |                               |    201
 cyberdoi.ru                                                       | redirect-loop                 |    647
 cyberdoi.ru                                                       |                               |    647
 czasopisma.kul.pl                                                 |                               |    402
 czasopisma.kul.pl                                                 | success                       |    294
 d.lib.msu.edu                                                     |                               |    550
 d.lib.msu.edu                                                     | no-pdf-link                   |    550
 d197for5662m48.cloudfront.net                                     | success                       |    276
 d197for5662m48.cloudfront.net                                     |                               |    276
 dergipark.org.tr                                                  |                               |    674
 dergipark.org.tr                                                  | no-pdf-link                   |    255
 dergipark.org.tr                                                  | success                       |    248
 digi.ub.uni-heidelberg.de                                         | no-pdf-link                   |    261
 digi.ub.uni-heidelberg.de                                         |                               |    261
 dl.acm.org                                                        |                               |    441
 dl.acm.org                                                        | blocked-cookie                |    361
 dlc.library.columbia.edu                                          |                               |    201
 dlc.library.columbia.edu                                          | no-pdf-link                   |    201
 doi.ala.org.au                                                    |                               |    308
 doi.ala.org.au                                                    | no-pdf-link                   |    308
 doi.org                                                           |                               |    474
 doi.org                                                           | terminal-bad-status           |    344
 downloads.hindawi.com                                             |                               |    479
 downloads.hindawi.com                                             | success                       |    478
 edoc.rki.de                                                       |                               |    238
 edoc.unibas.ch                                                    |                               |   2018
 edoc.unibas.ch                                                    | success                       |   1067
 edoc.unibas.ch                                                    | terminal-bad-status           |    817
 elib.spbstu.ru                                                    |                               |    205
 elifesciences.org                                                 |                               |    204
 era.library.ualberta.ca                                           |                               |    531
 era.library.ualberta.ca                                           | no-pdf-link                   |    527
 erj.ersjournals.com                                               |                               |    951
 erj.ersjournals.com                                               | redirect-loop                 |    829
 europepmc.org                                                     |                               |    289
 europepmc.org                                                     | success                       |    283
 figshare.com                                                      |                               |    233
 figshare.com                                                      | no-pdf-link                   |    208
 fjfsdata01prod.blob.core.windows.net                              |                               |   1430
 fjfsdata01prod.blob.core.windows.net                              | success                       |   1418
 hw.oeaw.ac.at                                                     |                               |    283
 hw.oeaw.ac.at                                                     | no-pdf-link                   |    283
 idb.ub.uni-tuebingen.de                                           |                               |    216
 idb.ub.uni-tuebingen.de                                           | terminal-bad-status           |    215
 ieeexplore.ieee.org                                               |                               |   7561
 ieeexplore.ieee.org                                               | spn2-error:too-many-redirects |   6732
 ieeexplore.ieee.org                                               | success                       |    683
 ijgc.bmj.com                                                      |                               |    411
 ijgc.bmj.com                                                      | success                       |    399
 jamanetwork.com                                                   |                               |    229
 jitc.bmj.com                                                      |                               |    849
 jitc.bmj.com                                                      | success                       |    773
 journals.aps.org                                                  |                               |    539
 journals.aps.org                                                  | not-found                     |    534
 journals.lww.com                                                  |                               |   1124
 journals.lww.com                                                  | no-pdf-link                   |    547
 journals.lww.com                                                  | link-loop                     |    399
 journals.openedition.org                                          |                               |   7366
 journals.openedition.org                                          | success                       |   3484
 journals.openedition.org                                          | spn2-wayback-error            |   2120
 journals.openedition.org                                          | redirect-loop                 |   1720
 journals.plos.org                                                 |                               |    552
 journals.plos.org                                                 | success                       |    542
 kiss.kstudy.com                                                   |                               |    306
 kiss.kstudy.com                                                   | no-pdf-link                   |    292
 lib.dr.iastate.edu                                                |                               |    297
 link.springer.com                                                 |                               |   2830
 link.springer.com                                                 | redirect-loop                 |   2625
 linkinghub.elsevier.com                                           |                               |    970
 linkinghub.elsevier.com                                           | forbidden                     |    415
 linkinghub.elsevier.com                                           | spn2-error:too-many-redirects |    357
 medrxiv.org                                                       |                               |    287
 medrxiv.org                                                       | redirect-loop                 |    287
 muse.jhu.edu                                                      |                               |    470
 muse.jhu.edu                                                      | terminal-bad-status           |    443
 ojs.ub.uni-konstanz.de                                            |                               |    463
 ojs.ub.uni-konstanz.de                                            | success                       |    462
 onlinelibrary.wiley.com                                           |                               |   2064
 onlinelibrary.wiley.com                                           | terminal-bad-status           |   1973
 osf.io                                                            |                               |   1394
 osf.io                                                            | redirect-loop                 |    589
 osf.io                                                            | spn2-wayback-error            |    425
 osf.io                                                            | not-found                     |    342
 othes.univie.ac.at                                                |                               |    424
 othes.univie.ac.at                                                | success                       |    424
 oxford.universitypressscholarship.com                             |                               |   8999
 oxford.universitypressscholarship.com                             | link-loop                     |   8282
