 doi_prefix |            status             | count  
------------+-------------------------------+--------
 10.1001    |                               |    230
 10.1002    |                               |   3914
 10.1002    | terminal-bad-status           |   1540
 10.1002    | forbidden                     |   1072
 10.1002    | redirect-loop                 |    995
 10.1002    | no-pdf-link                   |    210
 10.1016    |                               |   7976
 10.1016    | no-pdf-link                   |   4648
 10.1016    | terminal-bad-status           |   1778
 10.1016    | forbidden                     |    622
 10.1016    | spn2-error:too-many-redirects |    344
 10.1016    | redirect-loop                 |    225
 10.1017    |                               |   2040
 10.1017    | no-pdf-link                   |    720
 10.1017    | success                       |    441
 10.1017    | link-loop                     |    371
 10.1017    | bad-redirect                  |    227
 10.1021    |                               |   1722
 10.1021    | blocked-cookie                |   1552
 10.1029    |                               |    248
 10.1039    |                               |   1160
 10.1039    | redirect-loop                 |    486
 10.1039    | spn2-error:too-many-redirects |    395
 10.1039    | spn2-wayback-error            |    213
 10.1051    |                               |    695
 10.1051    | success                       |    557
 10.1055    |                               |    541
 10.1055    | not-found                     |    295
 10.1055    | redirect-loop                 |    213
 10.1057    |                               |   2835
 10.1057    | redirect-loop                 |   2617
 10.1061    |                               |    550
 10.1061    | spn2-error:too-many-redirects |    425
 10.1063    |                               |    600
 10.1063    | spn2-error:too-many-redirects |    328
 10.1080    |                               |   3801
 10.1080    | blocked-cookie                |   2431
 10.1080    | terminal-bad-status           |    711
 10.1080    | forbidden                     |    341
 10.1081    |                               |    299
 10.1081    | link-loop                     |    222
 10.1089    |                               |    236
 10.1089    | blocked-cookie                |    228
 10.1093    |                               |  12805
 10.1093    | link-loop                     |   8627
 10.1093    | redirect-loop                 |   1659
 10.1093    | no-pdf-link                   |   1475
 10.1093    | bad-redirect                  |    428
 10.1093    | success                       |    391
 10.1097    |                               |   1497
 10.1097    | no-pdf-link                   |    503
 10.1097    | link-loop                     |    346
 10.1097    | spn2-error:too-many-redirects |    259
 10.1097    | terminal-bad-status           |    202
 10.1101    |                               |   1859
 10.1101    | redirect-loop                 |    993
 10.1101    | forbidden                     |    703
 10.1103    |                               |    597
 10.1103    | not-found                     |    534
 10.1108    |                               |   1055
 10.1108    | no-pdf-link                   |    945
 10.1109    |                               |   7067
 10.1109    | spn2-error:too-many-redirects |   6299
 10.1109    | success                       |    667
 10.1111    |                               |   2099
 10.1111    | redirect-loop                 |   1331
 10.1111    | terminal-bad-status           |    313
 10.1111    | forbidden                     |    226
 10.1115    |                               |   1278
 10.1115    | bad-redirect                  |    707
 10.1117    |                               |    561
 10.1117    | spn2-error:too-many-redirects |    501
 10.1126    |                               |    214
 10.1136    |                               |   1989
 10.1136    | success                       |   1463
 10.1136    | link-loop                     |    294
 10.1142    |                               |    300
 10.1142    | blocked-cookie                |    237
 10.1145    |                               |    440
 10.1145    | blocked-cookie                |    354
 10.1155    |                               |    480
 10.1155    | success                       |    474
 10.11588   |                               |    506
 10.11588   | no-pdf-link                   |    264
 10.11588   | success                       |    236
 10.1159    |                               |    226
 10.11606   |                               |    304
 10.1161    |                               |   1142
 10.1161    | blocked-cookie                |   1011
 10.1163    |                               |   2261
 10.1163    | link-loop                     |   1767
 10.1163    | success                       |    348
 10.11648   |                               |    405
 10.11648   | success                       |    404
 10.1182    |                               |   2125
 10.1182    | no-pdf-link                   |   2024
 10.1183    |                               |    987
 10.1183    | redirect-loop                 |    838
 10.1186    |                               |   1481
 10.1186    | success                       |   1412
 10.1201    |                               |   7649
 10.1201    | link-loop                     |   5383
 10.1201    | forbidden                     |   1504
 10.1201    | no-pdf-link                   |    312
 10.1299    |                               |    264
 10.1299    | no-pdf-link                   |    209
 10.13134   |                               |    201
 10.1353    |                               |    549
 10.1353    | terminal-bad-status           |    443
 10.1371    |                               |    552
 10.1371    | success                       |    542
 10.14201   |                               |    656
 10.14201   | success                       |    366
 10.14361   |                               |    647
 10.14361   | link-loop                     |    585
 10.14746   |                               |    260
 10.14746   | success                       |    232
 10.1504    |                               |    527
 10.1504    | no-pdf-link                   |    501
 10.15122   |                               |    246
 10.15122   | success                       |    243
 10.1515    |                               |  16240
 10.1515    | link-loop                     |  12589
 10.1515    | success                       |   1941
 10.1515    | no-pdf-link                   |   1008
 10.1515    | not-found                     |    283
 10.15405   |                               |    229
 10.15405   | success                       |    218
 10.1553    |                               |    418
 10.1553    | no-pdf-link                   |    396
 10.1590    |                               |    655
 10.1590    | success                       |    623
 10.17104   |                               |   1202
 10.17104   | no-pdf-link                   |    953
 10.17104   | bad-redirect                  |    249
 10.17605   |                               |    368
 10.17605   | not-found                     |    337
 10.17615   |                               |   9401
 10.17615   | redirect-loop                 |   5720
 10.17615   | spn2-wayback-error            |   3099
 10.17615   | spn2-cdx-lookup-failure       |    201
 10.17863   |                               |    438
 10.18148   |                               |    465
 10.18148   | success                       |    462
 10.18720   |                               |    210
 10.18821   |                               |    476
 10.18821   | redirect-loop                 |    366
 10.20345   |                               |    222
 10.20345   | terminal-bad-status           |    215
 10.20546   |                               |    244
 10.20546   | no-pdf-link                   |    241
 10.21037   |                               |    232
 10.2118    |                               |    903
 10.2118    | redirect-loop                 |    853
 10.21203   |                               |   1824
 10.21203   | success                       |   1545
 10.2139    |                               |   1493
 10.2139    | link-loop                     |   1145
 10.2147    |                               |    318
 10.2147    | success                       |    267
 10.2172    |                               |    282
 10.2174    |                               |    363
 10.2174    | no-pdf-link                   |    320
 10.2196    |                               |    265
 10.2208    |                               |    299
 10.22215   |                               |    218
 10.22215   | success                       |    217
 10.22323   |                               |    289
 10.22323   | success                       |    262
 10.22533   |                               |    395
 10.22533   | success                       |    393
 10.22541   |                               |    291
 10.22541   | success                       |    275
 10.23919   |                               |    426
 10.23919   | spn2-error:too-many-redirects |    403
 10.24034   |                               |    319
 10.24034   | spn2-error                    |    203
